file,a,b,protein,resin,pH
adh_caq_pH7.csv,0.0001442078639562837,-1.532383508424724,adh,caq,7
blg_caq_pH7.csv,391564747.30484766,-6.326863238852539,blg,caq,7
cat_caq_pH7.csv,1335.911173058266,-4.565046916503831,cat,caq,7
ova_caq_pH7.csv,128051.53244728736,-5.166430140061295,ova,caq,7
adh_phq_pH7.csv,8.522909588087112,-3.515678741609177,adh,phq,7
blg_phq_pH7.csv,389291269906.27484,-7.260876678620214,blg,phq,7
cat_phq_pH7.csv,631.348973656412,-3.8563456725739376,cat,phq,7
ova_phq_pH7.csv,8621.265923396311,-4.465862641151818,ova,phq,7
adh_pxq_pH7.csv,28.31662183102207,-3.5730770146504107,adh,pxq,7
blg_pxq_pH7.csv,622323134119.7687,-7.183928542351286,blg,pxq,7
cat_pxq_pH7.csv,241486.0896217049,-4.93215497769247,cat,pxq,7
ova_pxq_pH7.csv,7096002.0548833795,-5.49115130628719,ova,pxq,7
lys_seph_pH5.csv,498947211912.3802,-7.280787892167105,lys,sep,5
lys_seph_pH7.csv,7189903.88473312,-5.556521928176349,lys,sep,7
lys_seph_pH9.csv,858965.0800546302,-5.587101271650047,lys,sep,9
mAbD_seph_pH7.csv,17380053.848560482,-6.408470314184003,mAbD,sep,7
