211			231			241	
(k'/(k'+1))^2	Pharmacia Q		(k'/(k'+1))^2	TosoHaas Q		(k'/(k'+1))^2	TosoHaas DEAE
0.690484832	49.51883213		0.829248145	81.3901357		0.825591558	17.17055079
0.363608468	25.49903915		0.701200322	31.17458811		0.447226563	8.530830771
0.158398676	10.25356204		0.332688791	26.28239921		0.117259511	8.404293625
0.059388461	6.883194985		0.152032849	3.413651305		0.058279857	4.026556101
0.0148721	12.62786248					0.022419858	5.058632127
0.000384468	15.74317097					0.014773664	4.897568997
						0.012484005	5.007623293
						0.012930504	4.985317649
251			261			271	
(k'/(k'+1))^2	EMD TMAE		(k'/(k'+1))^2	EMD DEAE		(k'/(k'+1))^2	EMD DMAE
0.837622873	19.74201813		0.905381084	14.3258266		0.946572758	28.44289868
0.395102041	23.68146846		0.830123457	9.168529024		0.86611725	34.60961546
0.064307136	4.722691858		0.569423012	29.14676744		0.756594768	18.82278691
0.029273355	5.256421157		0.333637374	20.7600997		0.525893553	31.58844765
0.010069324	5.557366193		0.108888945	7.09038159		0.302833425	22.74136176
0.002379536	5.872331881		0.049190752	3.779212444		0.117498966	7.771707629
						0.016143945	11.82216781
						0.0002134	12.83573689
